strike_prices,call_analytical,call_explicit,call_implicit,call_CN
1500,67.90311,67.87699,67.86697,67.87198
1520,58.43568,58.40997,58.40018,58.40508
1540,49.94199,49.91722,49.90812,49.91267
1560,42.38809,42.3647,42.35667,42.36068
1580,35.72826,35.7066,35.69995,35.70328
1600,29.90735,29.88768,29.88263,29.88515
1620,24.86324,24.8457,24.84236,24.84403
1640,20.52926,20.51392,20.5123,20.51311
1700,11.10051,11.0913,11.09415,11.09272
1760,5.66145,5.65679,5.66212,5.65945
1800,3.50353,3.50088,3.50668,3.50378
