SPOT PRICE,MATURITY,STRIKE PRICE,BID,ASK,IV
14504.8,29/04/2021,14000,632.2,639.9,20.15
14504.8,29/04/2021,14100,548.75,559.55,20.02
14504.8,29/04/2021,14200,471.1,481.65,19.76
14504.8,29/04/2021,14300,400,405.95,19.66
14504.8,29/04/2021,14400,331,335,19.08
14504.8,29/04/2021,14500,272.2,274,18.71
14504.8,29/04/2021,14600,213.25,216,18.18
14504.8,29/04/2021,14700,164.05,165.8,17.64
14504.8,29/04/2021,14800,122.2,123,17.33
14504.8,29/04/2021,14900,87.7,89.5,16.96
14504.8,29/04/2021,15000,63.05,64.1,16.91
