SPOT PRICE,MATURITY,STRIKE PRICE,BID,ASK,IV
14504.8,29/04/2021,14000,632.2,639.9,20.15
14504.8,29/04/2021,14100,548.75,559.55,20.02
14504.8,29/04/2021,14200,471.1,481.65,19.76
14504.8,29/04/2021,14300,400,405.95,19.66
14504.8,29/04/2021,14400,331,335,19.08
14504.8,29/04/2021,14500,272.2,274,18.71
14504.8,29/04/2021,14600,213.25,216,18.18
14504.8,29/04/2021,14700,164.05,165.8,17.64
14504.8,29/04/2021,14800,122.2,123,17.33
14504.8,29/04/2021,14900,87.7,89.5,16.96
14504.8,29/04/2021,15000,63.05,64.1,16.91
14504.8,27/05/2021,14000,775.6,791.45,16.72
14504.8,27/05/2021,14100,698.05,800.95,15.15
14504.8,27/05/2021,14200,529.7,664.3,15.72
14504.8,27/05/2021,14300,552.85,590,16.98
14504.8,27/05/2021,14400,496.85,514,16.99
14504.8,27/05/2021,14500,457.5,460,17.36
14504.8,27/05/2021,14600,395,409.55,17.4
14504.8,27/05/2021,14700,341,350,17.17
14504.8,27/05/2021,14800,292.75,300.25,17.12
14504.8,27/05/2021,14900,252,283.8,17.07
14504.8,27/05/2021,15000,218,219.8,17.01
14504.8,22/04/2021,14000,571.55,583,18.69
14504.8,22/04/2021,14100,482.55,506.9,17.56
14504.8,22/04/2021,14200,400,414.8,18.38
14504.8,22/04/2021,14300,322.3,330,18.13
14504.8,22/04/2021,14400,253.25,256.9,18.03
14504.8,22/04/2021,14500,190,192.05,17.32
14504.8,22/04/2021,14600,135,135.8,16.78
14504.8,22/04/2021,14700,88,90,16.25
14504.8,22/04/2021,14800,50.65,56.95,15.9
14504.8,22/04/2021,14900,33.95,34.5,15.69
14504.8,22/04/2021,15000,20.2,20.5,15.66
